Date,Diff,Sum
2021-03-17,2,389
2021-03-18,-16,373
2021-03-19,12,385
2021-03-20,37,422
2021-03-21,-15,407
2021-03-22,-20,387
2021-03-23,15,402
2021-03-24,-5,397
2021-03-25,-16,381
2021-03-26,-7,374
2021-03-27,34,408
2021-03-28,-15,393
2021-03-29,-21,372
2021-03-30,-2,370
2021-03-31,0,370
2021-04-01,17,387
2021-04-02,27,414
2021-04-03,-3,411
2021-04-04,3,414
2021-04-05,-25,389
2021-04-06,-11,378
2021-04-07,-20,358
2021-04-08,-10,348
2021-04-09,-4,344
2021-04-10,27,371
2021-04-11,-22,349
2021-04-12,-17,332
2021-04-13,-13,319
2021-04-14,-1,318
2021-04-15,-11,307
2021-04-16,7,314
2021-04-17,-8,306
2021-04-18,-15,291
2021-04-19,-21,270
2021-04-20,-6,264
2021-04-21,-49,215
2021-04-22,-13,202
2021-04-23,-6,196
2021-04-24,11,207
2021-04-25,-8,199
2021-04-26,-15,184
2021-04-27,2,186
2021-04-28,-5,181
2021-04-29,-2,179
2021-04-30,-1,178
2021-05-01,4,182
2021-05-02,-4,178
2021-05-03,-18,160
2021-05-04,-4,156
2021-05-05,-2,154
2021-05-06,-2,152
2021-05-07,-7,145
2021-05-08,9,154
2021-05-09,-17,137
2021-05-10,-13,124
2021-05-11,0,124
2021-05-12,-11,113
2021-05-13,-5,108
2021-05-14,7,115
2021-05-15,2,117
2021-05-16,-7,110
2021-05-17,-9,101
2021-05-18,-5,96
2021-05-19,-4,92
2021-05-20,2,94
2021-05-21,-3,91
2021-05-22,-2,89
2021-05-23,-2,87
2021-05-24,-19,68
2021-05-25,-4,64
2021-05-26,3,67
2021-05-27,-6,61
2021-05-28,-7,54
2021-05-29,3,57
2021-05-30,0,57
2021-05-31,-1,56
2021-06-01,-9,47
2021-06-02,0,47
2021-06-03,-3,44
2021-06-04,-3,41
2021-06-05,4,45
2021-06-06,-2,43
2021-06-07,0,43
2021-06-08,-2,41
2021-06-09,-3,38
2021-06-10,2,40
2021-06-11,0,40
2021-06-12,4,44
2021-06-13,-1,43
2021-06-14,-5,38
2021-06-15,-2,36
2021-06-16,-3,33
2021-06-17,-1,32
2021-06-18,3,35
2021-06-19,1,36
2021-06-20,-7,29
2021-06-21,-3,26
2021-06-22,6,32
2021-06-23,0,32
2021-06-24,-1,31
2021-06-25,2,33
2021-06-26,1,34
2021-06-27,-1,33
2021-06-28,3,36
2021-06-29,4,40
2021-06-30,-3,37
2021-07-01,-4,33
2021-07-02,3,36
2021-07-03,0,36
2021-07-04,-2,34
2021-07-05,-4,30
2021-07-06,-1,29
2021-07-07,-2,27
2021-07-08,0,27
2021-07-09,0,27
2021-07-10,-1,26
2021-07-11,-2,24
2021-07-12,-3,21
2021-07-13,0,21
2021-07-14,0,21
2021-07-15,-1,20
2021-07-16,2,22
2021-07-17,0,22
2021-07-18,-1,21
2021-07-19,0,21
2021-07-20,1,22
2021-07-21,-1,21
2021-07-22,0,21
2021-07-23,2,23
2021-07-24,1,24
2021-07-25,-2,22
2021-07-26,-2,20
2021-07-27,1,21
2021-07-28,-1,20
2021-07-29,2,22
2021-07-30,2,24
2021-07-31,-1,23
2021-08-01,-1,22
2021-08-02,-1,21
2021-08-03,0,21
2021-08-04,0,21
2021-08-05,0,21
2021-08-06,1,22
2021-08-07,0,22
2021-08-08,0,22
2021-08-09,1,23
2021-08-10,-1,22
2021-08-11,-2,20
2021-08-12,-2,18
2021-08-13,1,19
2021-08-14,1,20
2021-08-15,-1,19
2021-08-16,5,24
2021-08-17,-1,23
2021-08-18,1,24
2021-08-19,-11,13
2021-08-20,0,13
2021-08-21,0,13
2021-08-22,-2,11
2021-08-23,-4,7
2021-08-24,-1,6
2021-08-25,0,6
2021-08-26,1,7
2021-08-27,3,10
2021-08-28,1,11
2021-08-29,1,12
2021-08-30,1,13
2021-08-31,1,14
2021-09-01,2,16
2021-09-02,3,19
2021-09-03,3,22
2021-09-04,-1,21
2021-09-05,2,23
2021-09-06,0,23
2021-09-07,4,27
2021-09-08,-2,25
2021-09-09,5,30
2021-09-10,2,32
2021-09-11,1,33
2021-09-12,0,33
2021-09-13,0,33
2021-09-14,9,42
2021-09-15,4,46
2021-09-16,-4,42
2021-09-17,7,49
2021-09-18,9,58
2021-09-19,0,58
2021-09-20,-6,52
2021-09-21,18,70
2021-09-22,2,72
2021-09-23,-14,58
2021-09-24,17,75
2021-09-25,2,77
2021-09-26,2,79
2021-09-27,-4,75
2021-09-28,6,81
2021-09-29,7,88
2021-09-30,-4,84
2021-10-01,14,98
2021-10-02,1,99
2021-10-03,-3,96
2021-10-04,-1,95
2021-10-05,6,101
2021-10-06,-7,94
2021-10-07,7,101
2021-10-08,0,101
2021-10-09,16,117
2021-10-10,-2,115
2021-10-11,-14,101
2021-10-12,11,112
2021-10-13,2,114
2021-10-14,4,118
2021-10-15,7,125
2021-10-16,11,136
2021-10-17,1,137
2021-10-18,-11,126
2021-10-19,8,134
2021-10-20,8,142
2021-10-21,-5,137
2021-10-22,0,137
2021-10-23,16,153
2021-10-24,-6,147
2021-10-25,-4,143
2021-10-26,3,146
2021-10-27,14,160
2021-10-28,11,171
2021-10-29,-18,153
2021-10-30,52,205
2021-10-31,5,210
2021-11-01,-8,202
2021-11-02,-4,198
2021-11-03,-21,177
2021-11-04,18,195
2021-11-05,5,200
2021-11-06,24,224
2021-11-07,-9,215
2021-11-08,-12,203
2021-11-09,12,215
2021-11-10,9,224
2021-11-11,-4,220
2021-11-12,5,225
2021-11-13,35,260
2021-11-14,-13,247
2021-11-15,-19,228
2021-11-16,10,238
2021-11-17,16,254
2021-11-18,-13,241
2021-11-19,12,253
2021-11-20,18,271
2021-11-21,-21,250
2021-11-22,-9,241
2021-11-23,-1,240
2021-11-24,-1,239
2021-11-25,-4,235
2021-11-26,12,247
2021-11-27,37,284
2021-11-28,-8,276
2021-11-29,-10,266
2021-11-30,-7,259
2021-12-01,-4,255
2021-12-02,11,266
2021-12-03,-5,261
2021-12-04,32,293
2021-12-05,-10,283
2021-12-06,-8,275
2021-12-07,15,290
2021-12-08,15,305
